LEFT	NODE	RIGHT	GENRE	AGENT_LEX	AGENT_TYPE	OV_IN_RELCL
keberkahan hidup bagi guru-guru kita. Segala pengorbanan yang telah mereka	berikan	tak bisa diukur oleh materi yang mereka terima. Kiranya Allah sebaik-baik	Biografi	mereka	pro	TRUE
bab Anda mendapatkan gaji sebagai imbalan atas tenaga dan pikiran yang Anda	berikan	untuk keuntungan perusahaan.	Populer	anda	pro	TRUE
suhan yang akan di	berikan		Buku_Teks			
~	Berikan	pujian dan dorong terus menggunakan bahasa.	Populer			
n kelahiran bayi. Banyak hasil penelitian menunjukan bahwa jika para ibu di	berikan	dukungan saat proses persalinan dan mengetahui dengan baik bagaimana prose	Buku_Teks			
laksanakan pada saat ini sesuai dengan prinsip-prinsip Demokrasi Pancasila?	Berikan	alasan kalian.	Buku_Teks			
putusannya tidak salah. Ia memang ingin mati di tangan para Pandawa. Ia pun	berikan	berkatnya kepada Yudistira. Apabila engkau, wahai Maharaja, dalam menghada	Novel			
ana dampaknya terhadap masyarakat Hindia Belanda? Jelaskan jawaban kamu dan	berikan	bukti-buktinya yang hingga saat ini masih dapat dijumpai dalam kehidupan s	Buku_Teks			
m pendaftaran yang tersedia. Lengkapi juga form pendaftaran sampai selesai.	Berikan	informasi seputar data dirimu, profil website, dan lainnya.	Populer			
akanan sehingga semua bahan makanan dapat masuk dalam makanan anak. Ketiga,	berikan	air putih setiap habis makan. Keempat, hindari memberikan makanan selingan	Jurnal			
arga itu. Pelarianku selama ini tentu telah melukai kepercayaan yang mereka	berikan	.	Cerpen	mereka	pro	TRUE
anak belajar dari contoh yang kita	berikan	lebih daripada perkataan kita. Sejak usia sangat muda mereka sudah belajar	Biografi	kita	pro	TRUE
berperkara bagi masyarakat tidak mampu. Pada lingkup yang lebih luas, kita	berikan	akses masyarakat pada produk-produk pengadilan. Kita berikan putusan dan p	Laman_Resmi			
us sesuai dengan usia dan kebutuhan anak. Bila anak sudah boleh makan, maka	berikan	anak makan tiga kali dalam sehari. Bila anak belum boleh makan, maka berik	Majalah			
ih sulit daripada menulis panjang. Apabila Anda setuju dengan pendapat itu,	berikan	penjelasan yang dapat diterima. Sebaliknya, apabila Anda tidak setuju, ber	Buku_Teks			
Itulah hal kecil, yang ia	berikan	untuk suami di awal pagi setiap hari. Sebuah pengabdian seorang istri pada	Biografi	ia	pro	TRUE
erti Anda ketika belajar dalam waktu yang terlalu lama. Stimulasi yang Anda	berikan	harus dilakukan secara teratur pada waktu yang sama setiap harinya untuk m	Populer	anda	pro	TRUE
i soprano ternama dari Spanyol. Masih muda, dan masih lajang, hadirin, mari	berikan	"tepuk-tangan yang meriah kepada Catrina."""""	Novel			
wanita tua yang mem-	berikan	bekal roti bakar di Pulau Hari Senin. Dia Bibi Nay.	Novel			
kan dengan beberapa cara dan pilihan. Sebagai contoh peserta didik dapat di	berikan	bahan bacaan yang relevan dengan materi. Peserta didik dapat diminta melak	Buku_Teks			
rend yang sedang terjadi adalah ilmu sihir, maka dengan mukjizat yang Allah	berikan	, tongkat Musa bisa berubah menjadi ular dan mengalahkan ilmu sihir para tu	Populer	Allah	proper_noun	TRUE
Apa saja yang dapat kita	berikan	untuk menolong orang lain? Bentuk pertolongan yang dapat kita lakukan terb	Buku_Teks	kita	pro	TRUE
edamaian. Bingung dan gundah gulana tak lain merupakan efek dosa. Allah SWT	berikan	kepadanya jalan keluar atas segala problem-problem yang menghimpitnya. Pro	Populer			
~	Berikan	gambaran singkat mengenai usaha saudara, yaitu antara lain yang mendeskrip	Surat_Resmi			
Aplikasi tersebut tidak hanya mem	berikan	informasi pribadi kepada pejabat pemerintah, tapi juga mem berikan laporan	Koran			
adi	berikan	dia buku tebal (cardboard) atau buku berbahan kain yang bisa dia kunyah. B	Populer			
ngan hidupnya. Di samping itu, begitu banyak anugerah yang telah Allah Swt.	berikan	kepada manusia berupa: naluri, panca indera, akal, kalbu, dan aturan agama	Buku_Teks	Allah SWT	proper_noun	TRUE
ri) dan	berikan	nomor referensi yang Anda dapat. Dalam jangka waktu singkat (10 menit) uan	Populer			
kan anaknya yang licik untuk memenjarakan kakak tirinya. Satu buku lagi, di?	berikan	kepada kakak tirinya tersebut, Buku Kehidupan. Si Tanpa Mahkota.	Novel			
ntuk melakukan pekerjaan di departemenmu? Saya yakin jumlah orang yang Anda	berikan	"tepat."""""	Populer	anda	pro	TRUE
iatan sosial. Dengan demikian, setiap uang atau harta dan tulisan yang kamu	berikan	"adalah ibadah."""""	Buku_Teks	kamu	pro	TRUE
ang diberikan Allah SWT karena sesungguhnya segala sesuatu yang telah Allah	berikan	kepada kita sebagai umat-Nya adalah jalan untuk selalu dekat kepada-Nya da	Disertasi_Tesis_Skripsi	Allah	proper_noun	TRUE
Menhan	Berikan	Pembekalan Bela Negara Kepada 5.909 Mahasiswa Baru Universitas Udayana	Laman_Resmi			
dan besarnya potongan diserahkan kepada kebijakan Bank. Dalam hal Bank mem-	berikan	potongan tagihan murabahah yang belum dilunasi karena nasabah membayar cic	Surat_Resmi			
5. Usai membaca konten blog/web tersebut, barulah kita memberikan komentar.	Berikan	komentar yang berkualitas dan relevan dengan isi tulisan.	Populer			
anggapan Anda setelah melihat fenemona pemakaian bahasa Indonesia saat ini?	Berikan	argumentasi yang jelas!	Buku_Teks			
Triwulan III Tahun 2016, Industri	Berikan	Kontribusi Ekonomi 17,8 Persen	Laman_Resmi			
Buku itu, lanjut Toni, mem	berikan	pengeta hu an dan wawasan berupa pengayaan dan penunjang untuk beberapa ma	Koran			
dalam semua aspek kehidupanku Engkau memahami, mendukung, dan memberkatiku	Berikan	aku hati untuk meneladani-Mu Peduli kepada sesama terutama temanku Yang me	Buku_Teks			
sfer?	Berikan	contohnya!	Buku_Teks			
Senantiasa	berikan	sesuatu yang berharga untuk prospek Anda seperti brosur dan buatlah catata	Populer			
Di bagian default article settings:	berikan	centang pada allow people to post comments on new article.	Populer			
, lihat apakah korban bergerak atau memberikan respons. jika tidak bergerak	berikan	stimulasi dengan menggerakkan bahu korban. Pada korban yang sadar, dia aka	Buku_Teks			
i, dan mereka mengharapkan imbalan yang setimpal atas sumbangan yang mereka	berikan	. Lagi pula, 30 tahun pemangkasan pajak telah menguras sumber daya keuangan	Koran	mereka	pro	TRUE
pembeda antara investasi dan bisnis adalah pada tenaga dan waktu yang Anda	berikan	.	Populer	anda	pro	TRUE
~	Berikan	contoh bersifat ingin tahu dan percaya diri dalam melakukan keterampilan y	Populer			
k boleh membuatnya repot. Tidak boleh meminta sesuatu yang tidak mungkin ia	berikan	.	Cerpen	ia	pro	TRUE
"up cairan, pemberian zinc juga diperlukan untuk kasus diare akut dan cair. """""	Berikan	suplementasi zic selama 10 hari terus menerus. Penelitian menunjukkan, hal	Koran			
, mem-	berikan	kepastian hukum, dan mendukung produktivitas. Dari wilayah pinggiran itu k	Biografi			
bentuk spesalisasi medis yang luas, sarana dan prasarana yang memadai kami	berikan	, namun sayang umur rumah sakit itu hanya sampai 19 tahun akibat gempa. Mes	Biografi	kami	pro	TRUE
sebut masih diam, tentunya ada gaya lain yang melawan gaya dorong yang kita	berikan	. Gaya tersebut adalah gaya gesek antara kaki-kaki meja dengan lantai. Gaya	Disertasi_Tesis_Skripsi	kita	pro	TRUE
sti mempertimbangkan semua aspek. Salah satu cara ojol tetap ada, yaitu mem	berikan	kewenangan pengelolaan kepada pemerintah daerah (pemda).	Koran			
kap yang dapat kalian ambil untuk kehidupan di masyarakat. Oleh karena itu,	berikan	penilaian sikap terhadap dirimu sendiri dan teman selama pembelajaran perm	Buku_Teks			
h yang tertinggi dalam menjaga keimanannya. Adapula keimanan yang Allah SWT	berikan	sejak awal diciptakannya, yaitu para Malaikat. Iman malaikat adalah iman y	Populer	Allah SWT	proper_noun	TRUE
ah untuk diberikan kepada pengunjung. Saat berkomunikasi dengan pengunjung,	berikan	edukasi pada mereka. Bukalah percakapan dan bangunlah suatu hubungan yang	Populer			
Amatilah gambar di bawah ini.	Berikan	jawabanmu terkait pertanyaan berikut.	Buku_Teks			
l.	Berikan	anak hadiah sebuah buku harian (DIARY).	Populer			
kan terdiam ketika Anda	berikan	mainan, disusui, ditimang, dipeluk, atau dirangsang dengan bunyi-bunyian.	Populer			
n selesaikan proses pendaftaran.	Berikan	juga data seputar alamat website dan akun media sosial yang diminta oleh B	Populer			
empat tinggal masing-masing. Lihatlah indahnya pemandangan yang Tuhan telah	berikan	pada kita semua berupa hutan, sungai, danau, gunung dan pegunungan yang ta	Buku_Teks	Tuhan	noun	TRUE
ork Marketing sangat ditentukan oleh seberapa besar komitmen yang bisa Anda	berikan	. Jika Anda terus berkomitmen dalam melakukan sesuatu, Anda akan mampu meng	Populer	anda	pro	TRUE
dalah sangat penting di mata konsumen. Tidak peduli apa pun yang Anda jual,	berikan	penampilan yang pro-fesional pada produk dan diri Anda.	Populer			
dulu persetujuan Mahkamah Agung. Mekanisme ini sebaiknya diubah. Lebih baik	berikan	kesempatan kepada setiap hakim untuk melamar langsung ke Komisi Yudisial.	Koran			
~	Berikan	penekanan pada manfaat yang diperoleh apabila membeli properti yang Anda t	Populer			
rang-orang yang beriman, makanlah di antara rezeki yang baik-baik yang Kami	berikan	kepadamu, dan bersyukurlah kepada Allah jika benar-benar kepada-Nya kamu m	Biografi	kami	pro	TRUE
lah kehidupan sesungguhnya yang ia	berikan	, melainkan sekadar tampak hidup. Napas. Kehangatan tubuh. Sedikit tenaga y	Cerpen	ia	pro	TRUE
kaki kursi. Anjing jenis Dutch Shepherd itu menjilat-jilat makanan yang ia	berikan	, menggonggong halus dan memutar pandangannya ke wajah wanita tunanetra itu	Cerpen	ia	pro	TRUE
g tersebar di berbagai daerah melalui pagelaran program edukasi yang Shopee	berikan	.	Laman_Resmi	Shopee	proper_noun	TRUE
Kami berharap bantuan yang kami	berikan	dapat meringankan beban masyarakat yang terkena musibah dan tentunya semog	Laman_Resmi	kami	pro	TRUE
cukup senang telah berhasil membuat Lola bersedia menerima apa saja yang ia	berikan	, baik berupa barang maupun uang. Tak sekali pun pemberiannya pernah ditola	Cerpen	ia	pro	TRUE
fas dan sirkulasi.	Berikan	oksigen, pasang monitor EKG/defibrilator dan cari akses vaskuler	Buku_Teks			
yang limited edition. Kami juga	berikan	~	Majalah			
angkaian listrik tertutup dan jenis rangkaian listrik terbuka? Jelaskan dan	berikan	alasanmu.	Buku_Teks			
ikian yang dilakukan perempuan itu lima tahun silam. Sebuah ajaran yang ibu	berikan	, sebelum kemarahan yang lebih pitam melumatnya jadi arang.	Cerpen	ibu	noun-kinship	TRUE
gat janin sekaligus membentuk kebiasaan berpikir. Stimulasi yang akan Anda	berikan	dirangkai khusus dan berkesinambungan sehingga membuat pola yang baik bagi	Populer	anda	pro	TRUE
Shalawat dan salam semoga Allah	berikan	kepada Nabi Mu-hammad, shollallohu 'alaihi wa salam. Rasul akhiru zaman ya	Populer			
Mari	berikan	pelayanan kepada masyarakat dengan hati. Sehingga ekspektasi masyarakat ya	Laman_Resmi			
ini apapun ceritanya di lapangan, dan ini harus diterima secara wajib. Kita	berikan	imunisasi ini serba gratis. Jadi upaya-upaya yang kita berikan dalam perli	Laman_Resmi			
"mereka hanyalah kartu nama yang dilengkapi nomor telepon mereka. """"Ini saya"	berikan	kartu nama saya. Ibu bisa menelepon saya kalau ada masalah yang ingin disa	Biografi			
enyarankan, agar anak lebih mengenal profesi dokter, ajak ia bermain peran.	Berikan	padanya mainan perlengkapan kedokteran lalu biarkan ia menjadi dokter dan	Majalah			
5	Berikan	arti pada pengalaman yang berkaitan dengan lingkungannya. Dengan penjelasa	Buku_Teks			
al? Beri tanda centang pada gambar yang merupakan faktor produksi modal dan	berikan	tanda silang untuk gambar yang tidak tergolong faktor produksi modal.	Buku_Teks			
13	Berikan	buku-buku berilustrasi tanpa teks. Warna mencolok dan menarik akan merangs	Populer			
ang termasuk zat tunggal, zat campuran homogen, dan zat campuran heterogen.	Berikan	alasan mengapa materi tersebut termasuk zat tunggal, zat campuran homogen,	Buku_Teks			
bekas gigitan hewan penular rabies dengan air dan sabun selama 10-15 menit.	Berikan	Vaksin Anti Rabies (VAR). Bila gigitan berada di leher atau kepala ditamba	Laman_Resmi			
an ketika mereka menuntut cuti melahirkan, pada aturan yang lebih ringan di	berikan	cuti tanpa upah. (Jurnal Perempuan, 56. 2007:29).	Disertasi_Tesis_Skripsi			
Berapa jam saya	berikan	konsentrasi bagi usaha saya ini?	Populer			
ang di	berikan	untuk guru honorer K2 juga banyak, kata Titi.	Koran			
jumlah orang-orang yang berkehendak baik dan yang memiliki kepekaan moral.	Berikan	kami keyakinan yang diperbarui akan prinsip antikekerasan, dan jalan kasih	Buku_Teks			
~	berikan	pilihan-pilihan.	Populer			
